codes 5527 concurrency 2
  1700/4735 ok=1229 fail=1263 27703s
  1725/4735 ok=1229 fail=1288 28207s
  1750/4735 ok=1229 fail=1313 28747s
  1775/4735 ok=1229 fail=1338 29258s
  1800/4735 ok=1239 fail=1353 29601s
  1825/4735 ok=1239 fail=1378 30093s
  1850/4735 ok=1239 fail=1403 30637s
  1875/4735 ok=1239 fail=1428 31147s
  1900/4735 ok=1239 fail=1453 31692s
  1925/4735 ok=1250 fail=1467 31994s
  1950/4735 ok=1250 fail=1492 32503s
  1975/4735 ok=1250 fail=1517 33094s
  2000/4735 ok=1250 fail=1542 33612s
  2025/4735 ok=1264 fail=1553 33871s
  2050/4735 ok=1264 fail=1578 34443s
  2075/4735 ok=1265 fail=1601 34983s
  2100/4735 ok=1271 fail=1621 35410s
  2125/4735 ok=1275 fail=1645 35926s
  2150/4735 ok=1283 fail=1659 36237s
  2175/4735 ok=1286 fail=1681 36745s
  2200/4735 ok=1286 fail=1706 37254s
  2225/4735 ok=1286 fail=1731 37798s
  2250/4735 ok=1292 fail=1751 38231s
  2275/4735 ok=1292 fail=1775 38772s
  2300/4735 ok=1292 fail=1800 39335s
  2325/4735 ok=1297 fail=1819 39783s
  2350/4735 ok=1299 fail=1843 40333s
  2375/4735 ok=1299 fail=1868 40867s
  2400/4735 ok=1299 fail=1893 41429s
  2425/4735 ok=1299 fail=1918 41992s
  2450/4735 ok=1309 fail=1933 42366s
  2475/4735 ok=1309 fail=1958 42894s
  2500/4735 ok=1309 fail=1983 43458s
  2525/4735 ok=1309 fail=2008 44036s
  2550/4735 ok=1315 fail=2027 44464s
  2575/4735 ok=1324 fail=2043 44850s
  2600/4735 ok=1349 fail=2043 44864s
  2625/4735 ok=1374 fail=2043 44869s
  2650/4735 ok=1399 fail=2043 44874s
  2675/4735 ok=1424 fail=2043 44890s
  2700/4735 ok=1449 fail=2043 44895s
  2725/4735 ok=1474 fail=2043 44908s
  2750/4735 ok=1498 fail=2044 44954s
  2775/4735 ok=1498 fail=2069 45465s
  2800/4735 ok=1523 fail=2069 45497s
  2825/4735 ok=1548 fail=2069 45502s
  2850/4735 ok=1573 fail=2069 45507s
  2875/4735 ok=1598 fail=2069 45512s
  2900/4735 ok=1613 fail=2079 45755s
  2925/4735 ok=1616 fail=2101 46218s
  2950/4735 ok=1616 fail=2126 46759s
  2975/4735 ok=1619 fail=2148 47235s
  3000/4735 ok=1619 fail=2173 47781s
  3025/4735 ok=1628 fail=2189 48142s
  3050/4735 ok=1628 fail=2214 48656s
  3075/4735 ok=1634 fail=2233 49087s
  3100/4735 ok=1634 fail=2258 49598s
  3125/4735 ok=1634 fail=2283 50144s
  3150/4735 ok=1634 fail=2308 50658s
  3175/4735 ok=1634 fail=2333 51202s
  3200/4735 ok=1634 fail=2358 51709s
  3225/4735 ok=1637 fail=2379 52179s
  3250/4735 ok=1637 fail=2405 52719s
  3275/4735 ok=1639 fail=2427 53181s
  3300/4735 ok=1654 fail=2438 53446s
  3325/4735 ok=1660 fail=2457 53866s
  3350/4735 ok=1660 fail=2482 54413s
  3375/4735 ok=1663 fail=2503 54866s
  3400/4735 ok=1666 fail=2526 55376s
  3425/4735 ok=1666 fail=2550 55897s
  3450/4735 ok=1666 fail=2576 56445s
  3475/4735 ok=1680 fail=2587 56702s
  3500/4735 ok=1680 fail=2612 57218s
  3525/4735 ok=1680 fail=2637 57753s
  3550/4735 ok=1682 fail=2660 58248s
  3575/4735 ok=1687 fail=2680 58688s
  3600/4735 ok=1687 fail=2705 59203s
